"Date","Price","Open","High","Low","Vol.","Change %"
"20/03/2025","162.80","161.57","164.89","160.96","28.14M","-0.67%"
"19/03/2025","163.89","161.76","165.87","161.00","34.28M","2.00%"
"18/03/2025","160.67","163.68","164.25","156.72","42.07M","-2.20%"
"17/03/2025","164.29","165.03","166.30","163.67","31.18M","-0.73%"
"14/03/2025","165.49","163.27","166.49","162.45","32.00M","1.68%"
"13/03/2025","162.76","166.04","166.13","162.11","31.76M","-2.60%"
"12/03/2025","167.11","166.58","167.64","163.53","28.37M","1.87%"
"11/03/2025","164.04","164.91","166.75","161.37","39.59M","-1.10%"
"10/03/2025","165.87","168.26","168.46","163.69","43.60M","-4.60%"
"07/03/2025","173.86","171.26","174.97","170.27","27.39M","0.88%"
"06/03/2025","172.35","170.53","174.81","170.50","28.30M","-0.39%"
"05/03/2025","173.02","170.52","173.78","169.06","30.95M","1.23%"
"04/03/2025","170.92","166.24","173.29","165.80","45.39M","2.34%"
"03/03/2025","167.01","171.93","173.37","165.93","40.77M","-1.92%"
"28/02/2025","170.28","168.68","170.61","166.77","48.13M","1.06%"
"27/02/2025","168.50","173.99","174.56","167.94","39.99M","-2.45%"
"26/02/2025","172.73","175.07","176.08","171.58","35.43M","-1.53%"
"25/02/2025","175.42","178.04","178.74","174.69","41.91M","-2.14%"
"24/02/2025","179.25","181.99","183.12","178.88","29.85M","-0.23%"
"21/02/2025","179.66","185.15","185.34","179.08","35.20M","-2.65%"
"20/02/2025","184.56","184.80","185.31","182.72","20.44M","-0.38%"
"19/02/2025","185.27","184.07","185.46","183.59","19.55M","0.82%"
"18/02/2025","183.77","185.60","185.96","181.74","29.92M","-0.79%"
"14/02/2025","185.23","185.05","186.40","184.32","20.45M","-0.49%"
"13/02/2025","186.14","184.32","186.28","183.14","21.40M","1.38%"
"12/02/2025","183.61","183.22","185.11","181.83","22.07M","-0.92%"
"11/02/2025","185.32","185.03","186.94","184.28","21.24M","-0.62%"
"10/02/2025","186.47","187.35","188.20","185.86","23.11M","0.61%"
"07/02/2025","185.34","191.05","191.18","183.24","49.31M","-3.27%"
"06/02/2025","191.60","189.50","192.10","188.72","29.30M","0.14%"
"05/02/2025","191.33","191.07","192.75","188.03","70.46M","-7.29%"
"04/02/2025","206.38","203.39","207.05","202.81","43.86M","2.56%"
"03/02/2025","201.23","200.69","203.75","200.10","27.84M","-1.37%"
"31/01/2025","204.02","202.00","205.48","201.80","32.04M","1.57%"
"30/01/2025","200.87","198.00","201.40","197.67","24.35M","2.79%"
"29/01/2025","195.41","195.55","196.79","193.43","18.22M","0.06%"
"28/01/2025","195.30","192.74","195.48","190.68","24.16M","1.82%"
"27/01/2025","191.81","192.41","196.88","190.73","41.73M","-4.20%"
"24/01/2025","200.21","198.10","200.90","198.00","23.88M","1.13%"
"23/01/2025","197.98","198.14","200.30","195.20","26.95M","-0.20%"
"22/01/2025","198.37","199.06","200.48","197.53","26.20M","0.16%"
"21/01/2025","198.05","199.07","202.29","197.87","29.97M","1.05%"
"17/01/2025","196.00","196.53","197.23","193.75","27.74M","1.60%"
"16/01/2025","192.91","194.14","195.48","192.81","17.82M","-1.35%"
"15/01/2025","195.55","193.09","196.36","191.86","21.78M","3.11%"
"14/01/2025","189.66","191.24","191.98","188.31","17.17M","-0.71%"
"13/01/2025","191.01","190.07","191.18","187.36","21.82M","-0.54%"
"10/01/2025","192.04","194.29","196.52","190.31","26.67M","-0.98%"
"08/01/2025","193.95","192.57","196.29","192.38","24.86M","-0.79%"
"07/01/2025","195.49","197.11","201.00","194.60","26.49M","-0.70%"
"06/01/2025","196.87","193.98","198.22","193.85","29.56M","2.65%"
